title,state,open_issues,closed_issues,created_at,due_on,closed_at
April Recovery 2018,closed,0,7,2018-05-02 17:19:27+00:00,2018-05-08 07:00:00+00:00,2018-05-11 01:00:36+00:00
June 2018,closed,0,622,2018-05-02 13:46:37+00:00,2018-06-30 07:00:00+00:00,2018-07-09 07:24:43+00:00
July 2018,closed,0,676,2018-06-12 01:40:14+00:00,2018-08-03 07:00:00+00:00,2018-08-20 16:54:22+00:00
August 2018,closed,0,505,2018-07-18 09:23:10+00:00,2018-08-31 07:00:00+00:00,2018-09-05 20:23:38+00:00
March 2019,closed,0,441,2019-02-13 15:28:04+00:00,2019-03-31 07:00:00+00:00,2019-04-05 01:09:10+00:00
March 2022,closed,0,623,2022-01-10 14:39:23+00:00,2022-03-25 07:00:00+00:00,2022-03-30 18:12:37+00:00
April 2022,closed,0,585,2022-03-05 09:45:36+00:00,2022-04-29 07:00:00+00:00,2022-05-05 18:55:03+00:00
April 2022 Recovery 1,closed,0,2,2022-05-06 12:06:03+00:00,2022-05-10 07:00:00+00:00,2022-05-10 18:49:33+00:00
April 2022 Recovery 2,closed,0,14,2022-05-10 16:29:05+00:00,2022-05-18 07:00:00+00:00,2022-05-18 18:06:14+00:00
May 2022,closed,0,889,2022-04-04 08:52:59+00:00,2022-06-03 07:00:00+00:00,2022-06-09 19:01:09+00:00
June 2022,closed,0,1211,2022-04-25 12:27:58+00:00,2022-07-01 07:00:00+00:00,2022-07-08 06:35:22+00:00
July 2022,closed,0,1044,2022-06-09 13:00:58+00:00,2022-08-01 07:00:00+00:00,2022-08-04 17:59:02+00:00
August 2022,closed,1,1019,2022-06-16 15:55:10+00:00,2022-08-26 07:00:00+00:00,2022-09-01 18:20:52+00:00
October 2022,closed,0,720,2022-08-29 14:06:23+00:00,2022-10-28 07:00:00+00:00,2022-11-03 03:33:56+00:00
November 2022 Recovery 3,closed,0,1,2023-01-09 13:53:22+00:00,2023-01-10 08:00:00+00:00,2023-01-17 12:32:07+00:00
January 2023,closed,0,2093,2022-11-07 18:09:00+00:00,2023-01-27 08:00:00+00:00,2023-02-02 20:08:50+00:00
