title,state,open_issues,closed_issues,created_at,due_on,closed_at
March 2023,closed,0,1101,2022-12-15 12:15:36+00:00,2023-03-24 07:00:00+00:00,2023-04-06 09:57:08+00:00
April 2023,closed,0,1003,2023-03-09 14:44:05+00:00,2023-04-28 07:00:00+00:00,2023-05-03 22:11:17+00:00
April 2023 Recovery 1,closed,0,1,2023-05-03 07:24:39+00:00,2023-05-09 07:00:00+00:00,2023-05-09 19:59:25+00:00
May 2023,closed,0,1010,2023-03-17 14:36:42+00:00,2023-05-31 07:00:00+00:00,2023-06-08 18:23:01+00:00
May 2023 Recovery 1,closed,0,1,2023-06-08 18:42:58+00:00,2023-06-13 07:00:00+00:00,2023-06-14 05:39:06+00:00
June 2023,closed,0,929,2023-05-09 10:15:51+00:00,2023-06-30 07:00:00+00:00,2023-07-06 18:08:16+00:00
July 2023,closed,0,979,2023-06-02 11:46:01+00:00,2023-07-31 07:00:00+00:00,2023-08-03 18:40:57+00:00
August 2023,closed,0,1079,2023-06-29 09:06:42+00:00,2023-08-31 07:00:00+00:00,2023-09-07 19:15:28+00:00
September 2023,closed,0,985,2023-07-13 13:20:48+00:00,2023-09-30 07:00:00+00:00,2023-10-04 19:11:11+00:00
October 2023,closed,0,940,2023-09-11 13:40:00+00:00,2023-10-31 07:00:00+00:00,2023-11-01 18:11:33+00:00
October 2023 Recovery 1,closed,0,7,2023-11-01 10:56:17+00:00,2023-11-06 08:00:00+00:00,2023-11-06 18:20:02+00:00
October 2023 Recovery 2,closed,0,4,2023-11-02 09:39:12+00:00,2023-11-15 08:00:00+00:00,2023-11-09 18:23:02+00:00
November 2023,closed,0,1033,2023-09-27 08:21:45+00:00,2023-11-24 08:00:00+00:00,2023-12-07 21:36:27+00:00
December / January 2024,closed,0,1421,2024-02-06 08:34:34+00:00,2024-01-19 08:00:00+00:00,2024-02-08 14:00:45+00:00
December / January 2024 Recovery 2,closed,0,6,2024-02-07 10:26:24+00:00,2024-02-14 08:00:00+00:00,2024-02-15 13:50:48+00:00
December / January 2024 Recovery 1,closed,0,15,2024-01-20 21:52:58+00:00,2024-02-16 08:00:00+00:00,2024-02-08 13:48:33+00:00
February 2024,closed,0,963,2023-12-12 08:17:23+00:00,2024-02-23 08:00:00+00:00,2024-02-28 19:00:15+00:00
February 2024 Recovery 2,closed,0,1,2024-03-06 09:57:29+00:00,2024-03-15 07:00:00+00:00,2024-03-12 20:40:51+00:00
March 2024,closed,0,1264,2024-01-24 18:21:57+00:00,2024-03-30 07:00:00+00:00,2024-04-04 17:16:35+00:00
April 2024,closed,0,799,2024-02-23 18:57:07+00:00,2024-04-26 07:00:00+00:00,2024-05-02 17:50:54+00:00
May 2024,closed,1,853,2024-04-08 13:04:50+00:00,2024-05-30 07:00:00+00:00,2024-06-05 21:16:49+00:00
June 2024,closed,0,849,2024-04-26 00:12:47+00:00,2024-07-05 07:00:00+00:00,2024-07-03 21:50:59+00:00
July 2024,closed,0,791,2024-06-04 15:19:32+00:00,2024-08-02 07:00:00+00:00,2024-08-01 20:02:25+00:00
July 2024 Recovery 2,closed,0,1,2024-08-14 19:07:46+00:00,2024-08-15 07:00:00+00:00,2024-08-15 17:32:56+00:00
August 2024,closed,0,1078,2024-06-28 00:13:29+00:00,2024-09-05 07:00:00+00:00,2024-09-05 17:19:18+00:00
August 2024 Recovery 1,closed,0,5,2024-09-10 15:17:02+00:00,2024-09-12 07:00:00+00:00,2024-09-12 17:10:06+00:00
September 2024,closed,0,1154,2024-07-26 00:22:12+00:00,2024-10-04 07:00:00+00:00,2024-10-03 17:23:20+00:00
October 2024,closed,4,905,2024-08-28 12:51:32+00:00,2024-10-31 07:00:00+00:00,2024-10-29 18:10:01+00:00
October 2024 Recovery 1,closed,0,6,2024-10-28 13:23:59+00:00,2024-10-31 07:00:00+00:00,2024-10-31 22:11:07+00:00
October 2024 Recovery 2,closed,0,10,2024-10-31 16:56:36+00:00,2024-11-06 08:00:00+00:00,2024-11-07 23:10:26+00:00
November 2024 Patch Tuesday,closed,0,0,2024-11-12 17:58:26+00:00,2024-11-12 08:00:00+00:00,2024-11-12 18:09:52+00:00
October 2024 Recovery 3,closed,0,8,2024-11-07 22:34:31+00:00,2024-11-14 08:00:00+00:00,2024-11-14 22:21:09+00:00
November 2024,closed,0,1398,2024-10-04 10:30:50+00:00,2024-12-12 08:00:00+00:00,2024-12-11 19:39:08+00:00
November 2024 Recovery 1,closed,0,17,2024-12-12 21:15:14+00:00,2024-12-18 08:00:00+00:00,2024-12-18 18:00:45+00:00
November 2024 Recovery 2,closed,0,3,2024-12-17 17:48:17+00:00,2025-01-14 08:00:00+00:00,2024-12-19 19:04:52+00:00
November 2024 Recovery 3,closed,0,5,2024-12-19 12:47:35+00:00,2025-01-15 08:00:00+00:00,2025-01-13 14:10:04+00:00
November 2024 Recovery 4,closed,0,3,2025-01-13 10:53:18+00:00,2025-01-22 08:00:00+00:00,2025-01-16 23:46:52+00:00
November 2024 Recovery 5,closed,0,0,2025-01-17 07:06:58+00:00,2025-01-22 08:00:00+00:00,2025-02-06 09:49:12+00:00
January 2025,closed,0,1685,2024-10-24 23:46:18+00:00,2025-01-31 08:00:00+00:00,2025-02-06 17:17:50+00:00
January 2025 Recovery 1,closed,0,2,2025-02-03 22:57:36+00:00,2025-02-11 08:00:00+00:00,2025-02-11 18:36:04+00:00
January 2025 Recovery 2,closed,0,9,2025-02-06 09:48:57+00:00,2025-02-13 08:00:00+00:00,2025-02-13 18:05:11+00:00
January 2025 Recovery 3,closed,0,1,2025-02-13 06:48:01+00:00,2025-02-20 08:00:00+00:00,2025-02-26 20:40:26+00:00
February 2025,closed,0,1298,2024-12-08 16:08:09+00:00,2025-02-28 08:00:00+00:00,2025-03-05 18:13:49+00:00
February 2025 Recovery 1,closed,0,4,2025-03-04 18:46:01+00:00,2025-03-11 07:00:00+00:00,2025-03-10 20:15:58+00:00
February 2025 Recovery 2,closed,0,9,2025-03-10 14:29:46+00:00,2025-03-13 07:00:00+00:00,2025-03-13 16:48:23+00:00
March 2025,closed,0,1234,2025-02-07 00:08:07+00:00,2025-03-28 07:00:00+00:00,2025-04-04 08:02:48+00:00
March 2025 Recovery 2,closed,0,16,2025-04-08 20:55:54+00:00,2025-04-18 07:00:00+00:00,2025-04-10 16:50:17+00:00
March 2025 Recovery 1,closed,0,1,2025-04-03 19:54:08+00:00,2025-04-25 07:00:00+00:00,2025-04-09 12:05:35+00:00
April 2025,closed,1,1191,2025-03-17 11:23:49+00:00,2025-04-30 07:00:00+00:00,2025-05-08 18:43:17+00:00
April 2025 Recovery 1,closed,0,1,2025-05-07 07:54:09+00:00,2025-05-13 07:00:00+00:00,2025-05-13 18:31:55+00:00
May 2025,closed,2,1127,2025-03-28 03:41:32+00:00,2025-06-06 07:00:00+00:00,2025-06-12 18:06:37+00:00
May 2025 Recovery 1,closed,0,11,2025-06-11 20:31:57+00:00,2025-06-17 07:00:00+00:00,2025-06-19 17:10:10+00:00
June 2025,closed,0,1071,2025-04-01 17:01:58+00:00,2025-07-04 07:00:00+00:00,2025-07-10 18:38:19+00:00
July 2025,closed,1,1216,2025-05-19 21:33:03+00:00,2025-08-01 07:00:00+00:00,2025-08-07 20:55:43+00:00
July 2025 Recovery 1,closed,0,15,2025-08-07 22:50:21+00:00,2025-08-13 07:00:00+00:00,2025-08-13 18:50:32+00:00
July 2025 Recovery 2,closed,0,7,2025-08-14 11:54:04+00:00,2025-08-21 07:00:00+00:00,2025-08-21 19:03:14+00:00
August 2025,closed,1,1624,2025-07-09 11:48:48+00:00,2025-09-05 07:00:00+00:00,2025-09-11 14:50:25+00:00
September 2025,closed,0,960,2025-08-01 16:45:52+00:00,2025-10-03 07:00:00+00:00,2025-10-09 17:46:16+00:00
October 2025,open,436,457,2025-09-11 09:18:27+00:00,2025-10-31 07:00:00+00:00,
